model_name,accuracy,weighted_precision,weighted_recall,weighted_f1,macro_precision,macro_recall,macro_f1,sample_count
LinearSVM - Type 2 (Baseline),0.926829268292683,0.9314921090387374,0.926829268292683,0.9282229965156794,0.8970588235294118,0.9153439153439153,0.9047619047619048,41
LinearSVM - Chained Level 1 (Type 2),0.926829268292683,0.9314921090387374,0.926829268292683,0.9282229965156794,0.8970588235294118,0.9153439153439153,0.9047619047619048,41
LinearSVM - Chained Level 2 (Type 2 + Type 3),0.7058823529411765,0.7431372549019608,0.7058823529411765,0.7086175049730036,0.6333333333333334,0.616083916083916,0.607487922705314,34
LinearSVM - Chained Level 3 (Type 2 + Type 3 + Type 4),0.8064516129032258,0.8279569892473118,0.8064516129032258,0.7984126984126985,0.6875,0.784375,0.7112103174603175,31
LinearSVM - Type 2,0.926829268292683,0.9314921090387374,0.926829268292683,0.9282229965156794,0.8970588235294118,0.9153439153439153,0.9047619047619048,41
LinearSVM - Type 3 | Type 2='Problem/Fault',0.625,0.7083333333333333,0.625,0.6302083333333334,0.5714285714285714,0.5142857142857143,0.5166666666666667,16
"LinearSVM - Type 4 | Type 2='Problem/Fault', Type 3='AppGallery-Install/Upgrade'",0.5,0.25,0.5,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.2222222222222222,4
"LinearSVM - Type 4 | Type 2='Problem/Fault', Type 3='Coupon/Gifts/Points Issues'",0.8333333333333334,0.8666666666666667,0.8333333333333334,0.8148148148148148,0.9,0.75,0.7777777777777777,6
LinearSVM - Type 3 | Type 2='Suggestion',0.8888888888888888,0.8796296296296295,0.8888888888888888,0.8746031746031746,0.6944444444444443,0.8181818181818182,0.7365079365079366,18
"LinearSVM - Type 4 | Type 2='Suggestion', Type 3='General'",1.0,1.0,1.0,1.0,1.0,1.0,1.0,2
"LinearSVM - Type 4 | Type 2='Suggestion', Type 3='Payment'",0.6666666666666666,0.8148148148148148,0.6666666666666666,0.7333333333333334,0.4444444444444444,0.36363636363636365,0.4,12
