model_name,accuracy,weighted_precision,weighted_recall,weighted_f1,macro_precision,macro_recall,macro_f1,sample_count
RandomForest - Type 2 (Baseline),0.8292682926829268,0.8433285509325682,0.8292682926829268,0.8249893025246042,0.8745098039215686,0.7784391534391535,0.8059542796384901,41
RandomForest - Chained Level 1 (Type 2),0.8292682926829268,0.8433285509325682,0.8292682926829268,0.8249893025246042,0.8745098039215686,0.7784391534391535,0.8059542796384901,41
RandomForest - Chained Level 2 (Type 2 + Type 3),0.7647058823529411,0.7247899159663865,0.7647058823529411,0.7160784313725489,0.621978021978022,0.5615384615384615,0.5651282051282052,34
RandomForest - Chained Level 3 (Type 2 + Type 3 + Type 4),0.6774193548387096,0.6178660049627791,0.6774193548387096,0.6360782742269419,0.5072115384615384,0.565625,0.524133022774327,31
RandomForest - Type 2,0.8292682926829268,0.8433285509325682,0.8292682926829268,0.8249893025246042,0.8745098039215686,0.7784391534391535,0.8059542796384901,41
RandomForest - Type 3 | Type 2='Problem/Fault',0.6875,0.75,0.6875,0.6736111111111112,0.6428571428571429,0.5428571428571428,0.5555555555555555,16
"RandomForest - Type 4 | Type 2='Problem/Fault', Type 3='AppGallery-Install/Upgrade'",0.5,0.3333333333333333,0.5,0.4,0.2222222222222222,0.3333333333333333,0.26666666666666666,4
"RandomForest - Type 4 | Type 2='Problem/Fault', Type 3='Coupon/Gifts/Points Issues'",0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.3333333333333333,0.5,0.4,6
RandomForest - Type 3 | Type 2='Suggestion',0.8888888888888888,0.8101851851851851,0.8888888888888888,0.8438003220611916,0.5694444444444444,0.6666666666666666,0.6038647342995169,18
"RandomForest - Type 4 | Type 2='Suggestion', Type 3='General'",0.5,0.25,0.5,0.3333333333333333,0.25,0.5,0.3333333333333333,2
"RandomForest - Type 4 | Type 2='Suggestion', Type 3='Payment'",0.9166666666666666,0.8402777777777777,0.9166666666666666,0.8768115942028986,0.4583333333333333,0.5,0.4782608695652174,12
